publication_year,paper_count,avg_recognition_lag,avg_citation_count
1974,2,32.0,1019.0
1975,2,22.5,365.5
1976,1,14.0,325.0
1978,1,13.0,117.0
1979,2,20.0,47.5
1980,2,26.5,209.5
1981,1,12.0,702.0
1982,3,20.666666666666668,300.0
1983,2,25.0,40.0
1984,3,17.666666666666668,337.6666666666667
1985,3,16.666666666666668,184.0
1986,3,19.0,110.66666666666667
1987,11,18.09090909090909,2116.4545454545455
1988,14,18.357142857142858,896.9285714285714
1989,6,16.166666666666668,393.8333333333333
1990,7,16.857142857142858,294.85714285714283
1991,3,11.666666666666666,385.6666666666667
1992,9,14.222222222222221,486.0
1993,7,13.714285714285714,2411.4285714285716
1994,7,14.285714285714286,2014.857142857143
1995,8,14.875,988.875
1996,9,13.666666666666666,3095.4444444444443
1997,7,11.285714285714286,609.2857142857143
1998,14,13.357142857142858,1472.2857142857142
1999,17,13.588235294117647,2702.529411764706
2000,9,12.666666666666666,2707.1111111111113
2001,14,12.214285714285714,2261.0
2002,17,12.294117647058824,1601.8235294117646
2003,15,12.2,1354.9333333333334
2004,13,10.76923076923077,814.0
2005,13,10.923076923076923,982.0
2006,10,10.8,999.2
2007,9,10.0,1131.111111111111
2008,6,9.833333333333334,2895.0
